Ticker,Company Name,Stock Exchange,Domiciled,Mine Location Country,Mine Location State,Company_Type,Primary_Assets,Secondary_Assets,Notes
TLO,Talon Metals,TSX,BVI,USA,Minnesota,Developer,"Tamarack Ni-Cu-Co (MN, 51% JV with Rio Tinto); Boulderdash Ni-Cu MI; Vault Zone discovery",Primary,Tamarack MN: 8.56 Mt Ind @ 1.73% Ni massive sulphide; Vault Zone new massive Ni discovery 2025 (record 57.76% CuEq over 34.9m); Rio Tinto JV partner; Lundin option on Michigan assets; C$41M financing Dec 2025; mkt cap ~C$1.2B
PNPN,Power Metallic Mines,TSX.V,Canada,Canada; Chile,Quebec; Chile,Explorer/Developer,Nisk Ni-Cu-Co-PGM QC (Lion Zone 14.3m @ 6.3% NiEq; Tiger Zone); Copaquire Cu-Mo Chile,Primary,Also in copper DB. Nisk QC: Lion + Tiger Zones active drill program; CVMR JV battery-grade Ni; Seamus O'Regan appointed board 2025; formerly Power Nickel; C$297M mkt cap
CNC,Canada Nickel,TSX.V,Canada,Canada,Ontario,Developer,Crawford Ni-Co sulphide ON (1.07 Blb Ni M+I); 25+ Timmins Ni District targets; NetZero brand,Primary,Crawford: world's largest undeveloped Ni sulphide; Samsung SDI US$18.5M + Export Dev Canada US$500M + C$600M tax credits; FS underway; Timmins Ni District district-scale vision; C$164M mkt cap
FPX,FPX Nickel,TSX.V,Canada,Canada,British Columbia,Developer,Baptiste awaruite Ni-Fe alloy BC (3.9 Blb Ni); Van der Heyden target; Advocate NL option Jan 2026,Primary,Baptiste: 3.9 Blb Ni awaruite; no smelting required; POSCO 7.5% stake; Toyota-Panasonic JV + JOGMEC MOU 2025; IPD filed Jan 2026; OTCQX upgrade Jan 2026; ~C$120M mkt cap
NICX,Nickel 28 Capital,TSX.V,Canada,Papua New Guinea,Ramu Province,Royalty/Developer,Ramu Ni-Co HPAL PNG (8.56% stake); producing battery-grade Ni-Co; offtake + royalty rights,Primary,Ramu PNG: producing HPAL Ni-Co operation; unique royalty/streaming model on a producing asset; battery-grade Ni sulphate; C$98M mkt cap
NICU,Magna Mining,TSX.V,Canada,Canada,Ontario,Developer,"Shakespeare Ni-Cu-Co ON (restart-ready, fully permitted); Crean Hill + Levack Ni-Cu ON (ex-Vale)",Primary,Shakespeare ON: fully permitted Ni-Cu-Co restart; Levack Mine: 2.3% Ni over 28m Aug 2025; Crean Hill Sudbury acquired from Vale; near-production Sudbury cluster; ~C$50M mkt cap
RNC,Royal Nickel,TSX.V,Canada,Canada; Australia,Quebec; W. Australia,Developer,"Dumont Ni-Co sulphide QC (4.8 Blb Ni, construction-ready); Beta Hunt Au/Ni WA",Primary,Dumont QC: 4.8 Blb Ni one of world's largest undeveloped Ni sulphide deposits; FS complete; PEA NPV US$2.2B; SNC-Lavalin FS; construction-ready; ~C$50M mkt cap
SRL,Stillwater Critical Minerals,TSX.V,Canada,USA,Montana,Explorer,Stillwater West Ni-Cu-Co-PGM MT (1.05 Blb Ni Inferred; same belt as Sibanye Stillwater),Primary,Stillwater West MT: 32km strike adjoining Sibanye operations; 2025 drill program complete; updated MRE H1 2026; C$15M bought deal Dec 2025; ~C$50M mkt cap
GRDM,Grid Metals,TSX.V,Canada,Canada,Manitoba; Ontario,Explorer,Makwa-Mayville Ni-Cu-Co MB (NI 43-101 resource); East Bull Lake Ni-PGM ON,Primary,"Also in copper DB. Makwa-Mayville MB: indicated open pit resource 68,243t Ni; East Bull Lake ON PGM-Ni layered intrusion; ~C$34M mkt cap (up 314% YTD 2025)"
NIC,Nickel Creek Platinum,TSX.V,Canada,Canada,British Columbia/Yukon,Developer,"Nickel Shäw Ni-Cu-Co-PGM BC/YK border (4.3 Blb NiEq, PFS 2023); Glencore strategic",Primary,Nickel Shäw: 4.3 Blb NiEq one of largest undeveloped Ni-Cu-Co deposits globally; PFS complete; Glencore strategic relationship; ~C$34M mkt cap (up 400% YTD 2025)
FAN,First Atlantic Nickel,TSX.V,Canada,Canada,Newfoundland,Explorer,"Pipestone XL awaruite Ni alloy NL (RPM Zone, 4km target, 447m @ 1.27% awaruite DTR)",Primary,Pipestone XL NL: awaruite Ni-Fe alloy (no smelting like FPX Baptiste); RPM Zone 4km expanded target 2025; Phase 2X results expand strike + width; ~C$25M mkt cap
PDCO,Palladium One Mining,TSX.V,Canada,Finland; Canada,Lapland; Ontario,Explorer,Läntinen Koillismaa (LK) Ni-Cu-Co-PGM Finland (55km belt); Tyko Ni-Cu ON,Primary,LK Finland: 55km belt with 8 deposits Ni-Cu-Co-PGM; Tyko ON Ni-Cu sulphide; active drilling 2024-2025 Finland; Finland critical mineral priority for EU; ~C$25M mkt cap
EVNI,EV Nickel,TSX.V,Canada,Canada,Ontario,Explorer,Shaw Dome Ni sulphide ON (Timmins; Gemini North zone extension 2025); battery Ni focus,Primary,Shaw Dome ON: Timmins Ni district; Gemini North zone 2025 drill results extending mineralization; C$21M mkt cap
NEXM,NexMetals Mining,TSX.V+NASDAQ,Canada,Botswana,Central District,Developer,"Selebi + Selkirk Cu-Ni-Co-PGE mines Botswana (past-producing, restart; metallurgical breakthrough 2025)",Primary,Also in copper DB. Metallurgical breakthrough 2025: separate Cu + Ni-Co concentrates confirmed; restart focus; Cu-Ni co-primary; ~C$20M mkt cap
ARL,Ardea Resources,TSX.V,Canada,Australia,Western Australia,Developer,"Kalgoorlie Ni-Co laterite WA (KNP, 5.2 Mt NiEq); HPAL scoping study",Primary,KNP WA: 5.2 Mt NiEq one of largest undeveloped WA Ni-Co laterites; HPAL study; Kalgoorlie infrastructure proximity; ~C$15M mkt cap
PMI,Perseverance Metals,TSX.V,Canada,Canada,Quebec,Explorer,Lac Gayot Ni-Cu-Co-PGE QC (Nasique + Baseline Zone discoveries 2025); high-grade Ni,Primary,Lac Gayot QC: Nasique discovery 4.07% Ni over 2.1m; Baseline massive sulphide 2025; Venus East Ni-Cu-Co-PGE trend; active multi-zone discovery program; ~C$15M mkt cap
SAM,Sama Resources,TSX.V,Canada,Côte d'Ivoire,Bélier Region,Explorer,Samapleu-Grata Ni-Cu-Co-PGM Côte d'Ivoire; Ivanhoe Electric JV 2025,Primary,Also as SME in copper DB. Samapleu-Grata: large Ni-Cu-Co-PGM West Africa; Ivanhoe Electric 2025 program; adjacent world-class Ni-Co laterites; ~C$15M mkt cap
GEMC,Global Energy Metals,TSX.V,Canada,Canada; USA,Ontario; BC; Nevada,Explorer,Millennium Co-Ni ON; William Lake Co-Ni BC; Lovelock Ni NV,Primary,Battery metals Co-Ni; Millennium ON + William Lake BC + Lovelock NV; triple jurisdiction; ~C$10M mkt cap
MINE,Inomin Mines,TSX.V,Canada,Canada,British Columbia,Explorer,"Beaver-Lynx Ni-Co-Cr-Mg BC (204m from 18m depth, South Zone 2025); critical minerals",Primary,Beaver-Lynx BC: 204m @ 0.19% Ni + Cr + Co + Mg from 18m surface; South Zone expansion 2025; critical minerals designation; ~C$10M mkt cap
MTAL,Metals One,CSE,Canada,Finland; Norway,Lapland; Finnmark,Explorer,Palotieva Ni-Cu-Co-PGM Finland; Reinfjord Ni-Cu Norway (SINTEF JV),Primary,Dual Scandinavian Ni; Palotieva Finland + Reinfjord Norway; SINTEF research JV; European battery Ni critical minerals focus; ~C$10M mkt cap
NCM,Nicola Mining,TSX.V,Canada,Canada,British Columbia,Producer,Merritt Mill toll-milling BC (cash flow); Treasure Mountain Ni-Cu-Zn-Ag BC,Primary,Merritt Mill generates cash from toll-milling; Treasure Mountain Ni-Cu-Zn-Ag historical resource BC; ~C$10M mkt cap
SHL,Homeland Nickel,TSX.V,Canada,Canada; Brazil,Ontario; Pará,Explorer,Carajas-area Ni Brazil (agreement Brazilian Nickel Ltd 2025); Sudbury area ON Ni,Primary,Brazilian Nickel Ltd preliminary agreement Oct 2025 for Carajas-area Ni Brazil; Sudbury ON targets; dual Brazil + Canada Ni strategy; ~C$10M mkt cap
VAL,Valore Metals,TSX.V,Canada,Canada,NWT,Developer,Beaverlodge Ni-Cu-Co-PGM NWT; Thor Co-Ni NWT,Primary,NWT Ni-Cu-Co-PGM; Beaverlodge + Thor projects; underexplored NWT battery metals district; ~C$10M mkt cap
ALX,ALX Resources,TSX.V,Canada,Canada,Saskatchewan,Explorer,Falcon + Electra Ni-Cu-Co sulphide SK; Sceptre Ni SK; Thompson Belt analogue geology,Primary,Saskatchewan Ni sulphide; Falcon + Electra + Sceptre; Thompson Nickel Belt-analogue; ~C$5M mkt cap
BON,Bold Ventures,TSX.V,Canada,Canada,Ontario,Explorer,Escape Lake Ni-Cu-Co-PGM Ring of Fire ON; chromite-Ni belt ON,Primary,Ring of Fire Ontario Ni-Cu-Co-PGM + chromite; Escape Lake on chromite belt; Ring of Fire road access a key catalyst; ~C$5M mkt cap
HPAL,Hpal Nickel,TSX.V,Canada,Philippines,Palawan,Developer,Rio Tuba Ni-Co laterite Philippines (HPAL processing study),Primary,Rio Tuba Philippines: Ni-Co laterite HPAL study; Southeast Asian Ni developer; ~C$5M mkt cap
MNS,Maniitsoq Mineral Resources,TSX.V,Canada,Greenland,Maniitsoq District,Explorer,Maniitsoq Ni-Cu-Co-PGM Greenland (Norilsk-type; large land package),Primary,Maniitsoq Greenland world-class Ni-Cu-Co-PGM district; Norilsk-type analogue; Greenland strategic metals; ~C$5M mkt cap
NOKN,North American Nickel,TSX.V,Canada,Greenland; Canada,Maniitsoq; Ontario,Explorer,Maniitsoq Ni-Cu-Co-PGM Greenland (Norilsk-type large system); Sudbury ON targets,Primary,Maniitsoq Greenland: Norilsk-type Ni-Cu-Co-PGM; Ontario Ni sulphide secondary; dual-jurisdiction explorer; ~C$5M mkt cap
TSHA,Tartisan Nickel,CSE,Canada,Canada,Ontario,Explorer,Kenbridge Ni-Cu-Co sulphide ON (4.4 Mt @ 1.22% Ni historical); Sill Lake ON,Primary,Kenbridge ON: 4.4 Mt @ 1.22% Ni near Sudbury infrastructure; drill-ready; ~C$5M mkt cap
TSTN,Transition Metals,TSX.V,Canada,Canada,Ontario,Explorer,Ni-Cu-Co sulphide Sudbury + Kapuskasing ON; Au-Ni Maude Lake ON; deal-flow generator,Primary,Sudbury + Kapuskasing Ontario Ni sulphide; deal-flow generator model; multiple early-stage targets; ~C$5M mkt cap
ICON,Icon Exploration,TSX.V,Canada,Canada,Ontario,Explorer,Ni-Cu-Co sulphide Timmins area ON; Timmins Ni District,Primary,Timmins-area Ontario Ni sulphide; same district as Canada Nickel; early-stage; ~C$3M mkt cap
KALI,Kali-Kultura,CSE,Canada,Indonesia,Sulawesi,Explorer,Sulawesi Ni laterite (saprolite); RKEF/HPAL processing pathway Indonesia,Primary,Sulawesi Indonesia Ni laterite; saprolite targets; RKEF/HPAL pathway; ~C$3M mkt cap
KELT,Kesselrun Resources,TSX.V,Canada,Canada,Ontario,Explorer,Ni-Cu-Co sulphide Ontario (Wawa-Chapleau Belt),Primary,Wawa-Chapleau Belt Ontario Ni sulphide; early-stage; ~C$3M mkt cap
NKLA,Magna Terra Minerals,TSX.V,Canada,Canada,Nova Scotia; Ontario,Explorer,Dominique Ni-Cu-Co sulphide NS; Ontario Ni targets,Primary,Dominique NS: Ni-Cu-Co sulphide Maritime Canada; underexplored Ni district; ~C$3M mkt cap
NVA,NiCan,TSX.V,Canada,Canada,Ontario,Explorer,Ni-Cu sulphide Ontario (Sudbury + Temagami),Primary,Sudbury + Temagami Ontario Ni-Cu sulphide; multiple early-stage targets; ~C$3M mkt cap
PCNI,Pacific Coast Nickel,TSX.V,Canada,Canada,British Columbia,Explorer,Prospect Valley Ni-Co laterite BC; Coquihalla Ni sulphide BC; dual Ni strategy,Primary,BC dual: Ni-Co laterite (Prospect Valley) + Ni sulphide (Coquihalla); early-stage BC Ni explorer; ~C$3M mkt cap
PGN,Panther Metals,TSX.V,Canada,Australia; UK,Victoria (AU); Wales,Explorer,Annaburroo Ni-Cu-Co NT Australia; Merlin Ni Wales UK,Primary,Dual jurisdiction Ni sulphide NT Australia + Wales UK; early-stage underexplored; ~C$3M mkt cap
PSG,Passage Resources,TSX.V,Canada,Canada,Ontario; Manitoba,Explorer,Ni-Cu-Co sulphide Ontario + Manitoba; Pipestone Ni MB,Primary,Ontario + Manitoba Ni sulphide; Pipestone MB Ni target; early-stage multi-province; ~C$3M mkt cap
SPN,SPN Mining,TSX.V,Canada,Canada,Manitoba,Explorer,Thompson Nickel Belt Ni-Cu-Co sulphide MB (same belt as Vale/Hudbay operations),Primary,Thompson Nickel Belt MB: same belt as Vale Thompson + Hudbay; early-stage sulphide; underexplored portions of prolific belt; ~C$3M mkt cap
XNI,X-Terra Resources,TSX.V,Canada,Canada,Quebec,Explorer,Ni-Cu-Co sulphide QC (Chibougamau-area ultramafics),Primary,Chibougamau QC Ni sulphide in ultramafics; early-stage QC Ni explorer; ~C$3M mkt cap
MTAL2,Metal Energy,TSX.V,Canada,Canada,Quebec,Explorer,Ni-Cu-Co sulphide QC (Abitibi); REE secondary,Primary,Abitibi QC Ni-Cu-Co sulphide + REE; early-stage multi-target QC; ~C$2M mkt cap
NVNI,Nevada Nickel,TSX.V,Canada,USA,Nevada,Explorer,Ni-Co-Mn sulphide Nevada (Goldstrike area),Primary,Nevada Ni sulphide; Goldstrike-area; early-stage US Ni explorer; ~C$2M mkt cap
PRL,Peregrine Metals,TSX.V,Canada,Argentina,San Juan,Explorer,Ni-Cu-Co sulphide + laterite San Juan Argentina,Primary,Argentina Ni explorer; sulphide + laterite; San Juan province; ~C$2M mkt cap
QNI,Quartz Mountain Resources,TSX.V,Canada,Canada; USA,Ontario; Oregon,Explorer,Ni-Cu sulphide Ontario primary; Quartz Mountain Au Oregon secondary,Primary,Ontario Ni sulphide primary + Oregon Au secondary; early-stage ON Ni explorer; ~C$2M mkt cap
